text,author,likes,replyCount,cleaned_text
Nebuchadnezzar had a 90 foot statue built of himself. And we know the rest of the story...,@Elizabeth-rk3do,1,0,nebuchadnezzar had a  foot statue built of himself and we know the rest of the story
He may be the president but there is NOTHING presidential about him. He's an embarrassment.,@claudeanemarino8808,7,0,he may be the president but there is nothing presidential about him hes an embarrassment
The United States is humiliating itself,@neilmars8337,6,0,the united states is humiliating itself
This is so insane that I forgot that it actually happened.,@sixonethreee,0,0,this is so insane that i forgot that it actually happened
The arrival of the dajal,@Saphiaya,1,0,the arrival of the dajal
"I would just like to point out 0:14 and say that's a nice detail for the AI to have included. Bearded bikini dancers were not on my bingo card for this weeks' insanity, but I will take whatever shimmer of light(heartedness) I can get.",@niklaswassermann9971,1,0,i would just like to point out  and say thats a nice detail for the ai to have included bearded bikini dancers were not on my bingo card for this weeks insanity but i will take whatever shimmer of lightheartedness i can get
song low key catchy af,@starmanxvi,1,1,song low key catchy af
"All the world's psychologists and psychiatrists need to cut the b.s. and tell it like it is, to the planet.",@Zachorazor1,0,0,all the worlds psychologists and psychiatrists need to cut the bs and tell it like it is to the planet
"It was the best of times, it was the blurst of times.",@TadhgcDoran,2,0,it was the best of times it was the blurst of times
"It's just a dream and It will never fulfill, How cruel is trump you can understand now",@EntertainmentbyA.bhutto,2,0,its just a dream and it will never fulfill how cruel is trump you can understand now
What tf  did I just see 💀,@Rose-l3w9b,0,0,what tf  did i just see skull
Gaza is not for sale!!!,@sumreentahir3447,2,2,gaza is not for sale
"If they didn't have Bibi there, it would be cool",@eesque41,0,1,if they didnt have bibi there it would be cool
"Poor confused Trump, who started his real estate dream with: 'will be so ba (bad).', but quickly changed that in: 'will be so magnificent'. Well, the first is more according the truth.",@robsowka4985,1,0,poor confused trump who started his real estate dream with will be so ba bad but quickly changed that in will be so magnificent well the first is more according the truth
I will not support the idea..unless they add a golf terrain.,@xenomorphelv4265,1,0,i will not support the ideaunless they add a golf terrain
"Yeah, he really posted this...women with beards. Uhuh, yeah that's totally something he would do.",@zomgwtfbekjam,3,0,yeah he really posted thiswomen with beards uhuh yeah thats totally something he would do
It is possible. 😂,@a.v.5078,0,0,it is possible face_with_tears_of_joy
"Men in long beards dancing in genie costumes, wait what 😮?",@MajesticElOTL,1,0,men in long beards dancing in genie costumes wait what face_with_open_mouth
"This isn't a timeline, it's a timemaze",@DarkifyDarkify,1,0,this isnt a timeline its a timemaze
Who made this video?,@nataliecase2718,0,2,who made this video
He's got you guys buy the balls 😂😂😂,@ericsalinas98,0,0,hes got you guys buy the balls face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
Trump brings out the worst in everything,@KathleenLarsonStargazer,3,0,trump brings out the worst in everything
"It is just SO telling that his image of a better Gaza is a resort for ultra-rich people full of beach attractions, balloons, expensive clubs and luxury cars (that seemingly stray into pedestrian spaces all the time). Where are the normal people? Where is transportation for everyone who is presumably running this stuff? Are there also normal places to go?Their idea of improvement is just a tourist trap for 1M+ net worths.",@Blaze6108,2,0,it is just so telling that his image of a better gaza is a resort for ultrarich people full of beach attractions balloons expensive clubs and luxury cars that seemingly stray into pedestrian spaces all the time where are the normal people where is transportation for everyone who is presumably running this stuff are there also normal places to gotheir idea of improvement is just a tourist trap for m net worths
Suddently cyberpunk doesn t feel like fiction anymore,@florin-alexandrustanciu5643,1,0,suddently cyberpunk doesn t feel like fiction anymore
Elon musk is finally dressing up normally. If this was an alrernate reality😂,@j12torts,1,0,elon musk is finally dressing up normally if this was an alrernate realityface_with_tears_of_joy
Alright Trump is still funny,@Jelawn,1,0,alright trump is still funny
"""that could be so bad.. that could be so magnificent"" even youtube's subtitles cought that 😂",@amtechprinters3339,1,0,that could be so bad that could be so magnificent even youtubes subtitles cought that face_with_tears_of_joy
New british eara has come and control the world again,@gulamnazam1499,1,0,new british eara has come and control the world again
TRUMP GAZA NUMBER ONE,@wassimhaifi5965,4,0,trump gaza number one
